,July,June
Q1,0.0666666666666666,0.0166666666666666
Median (Q2),0.4,0.0333333333333333
Q3,0.8666666666666667,0.45
Mean,349.869109681322,2379.076222716469
Min,0.0,0.0
Max,49161.5,50402.55
